product_name,brand,category,skin_type_target,full_ingredients,main_concerns,source_url ,확인
다이브인 저분자 히알루론산 세럼,토리든 ,에센스/세럼/앰플,모든 피부,"정제수, 부틸렌글라이콜, 글리세린, 다이프로필렌글라이콜, 1,2-헥산다이올, 판테놀, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드하이알루로닉애씨드(1,000ppm), 소듐하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 알란토인, 엑토인, 감초추출물, 2,3-부탄다이올, 트레할로오스, 베타인, 프로판다이올, 쇠비름추출물, 버지니아풍년화잎추출물, 마데카소사이드, 마데카식애씨드, 세라마이드엔피, 베타-글루칸, 말라카이트추출물, 콜레스테롤, 펜틸렌글라이콜, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 피브이엠/엠에이코폴리머, 폴리글리세릴-10라우레이트, 잔탄검, 트로메타민, 카보머, 에틸헥실글리세린, 황금추출물, 모란뿌리추출물",,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000258291&dispCatNo=100000100010014&trackingCd=Cat100000100010014_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%97%90%EC%84%BC%EC%8A%A4/%EC%84%B8%EB%9F%BC/%EC%95%B0%ED%94%8C_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=14,O
TXA 나이아신 흔적 세럼,아누아,에센스/세럼/앰플,모든 피부,"정제수, 글리세린, 나이아신아마이드(10%), 트라넥사믹애씨드(4%), 부틸렌글라이콜, 다이에톡시에틸석시네이트, 1,2-헥산다이올, 알부틴, 펜틸렌글라이콜, 소듐하이알루로네이트, 잔탄검, 베타인살리실레이트, 알파-알부틴, 수크로오스팔미테이트, 아이비고드열매추출물, 한련초추출물, 하이드로제네이티드레시틴, 젤란검, 퀸즈랜드넛오일, 올리브오일, 호호바씨오일, 포도씨오일, 소듐파이테이트, 셀룰로오스, 카프릴릭/카프릭트라이글리세라이드, 판테놀, 사이아노코발아민, 폴리글루타믹애씨드, 3-O-에틸아스코빅애씨드, 세라마이드엔피, 덱스트린, 카카오추출물, 하이드롤라이즈드하이알루로닉애씨드, 편백잎추출물, 복사나무꽃추출물, 녹차씨오일, 아시아티코사이드, 마데카식애씨드, 아시아틱애씨드, 효모발효추출물, 병풀추출물, 쑥잎추출물, 칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물, 다이메틸실란올하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 하이알루로닉애씨드, 포타슘하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 소듐하이알루로네이트다이메틸실란올, 소듐아세틸레이티드하이알루로네이트",,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226201&dispCatNo=100000100010014&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%97%90%EC%84%BC%EC%8A%A4/%EC%84%B8%EB%9F%BC/%EC%95%B0%ED%94%8C_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=1,O
시카마누 92세럼,파넬,에센스/세럼/앰플,모든 피부,"정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 카보머, 트로메타민, 폴리글리세릴-10라우레이트, 프로판다이올, 인도멀구슬나무잎추출물, 병풀추출물(744ppm), 카카오씨추출물, 에틸헥실글리세린, 불가리스쑥오일, 인도멀구슬나무꽃추출물, 덱스트린, 다이소듐이디티에이, 소듐폴리아크릴레이트, 펜틸렌글라이콜, 황련뿌리추출물, 락토바실러스발효물, 마누카잎추출물(20ppm), 마데카소사이드(20ppm), 데실글루코사이드, 카프릴릴글라이콜, 꿀추출물(900ppb), 메도우폼씨오일, 카프릴릭/카프릭트라이글리세라이드, 올리브오일, 하이드로제네이티드레시틴, 세라마이드엔피, 피토스핑고신, 멜라토닌",,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000259488&dispCatNo=100000100010014&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%97%90%EC%84%BC%EC%8A%A4/%EC%84%B8%EB%9F%BC/%EC%95%B0%ED%94%8C_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=2,O
마데카소사이드 흔적 리페어 세럼,메디힐,에센스/세럼/앰플,모든 피부,"정제수, 글리세린, 부틸렌글라이콜, 프로판다이올, 1,2-헥산다이올, 나이아신아마이드, 글리세릴폴리메타크릴레이트, 판테놀, 베타인, 폴리글리세릴-10라우레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 다이페닐다이메티콘, 트라이에틸헥사노인, 트로메타민, 마데카소사이드(540 ppm), 에틸헥실글리세린, 하이드로제네이티드레시틴, 잔탄검, 소듐하이알루로네이트, 병풀추출물(51 ppm), 아시아티코사이드(39 ppm), 서양배추출물, 연필향나무오일, 병풀잎추출물(21 ppm), 베타-글루칸, 다마스크장미꽃수, 멜론추출물, 오리스뿌리추출물, 서양송악잎/줄기추출물, 호호바씨오일, 광곽향오일, 불가리스쑥오일, 로즈마리잎오일, 토코페롤, 다이프로필렌글라이콜, 펜틸렌글라이콜, 카프릴릴/카프릴글루코사이드, 마데카식애씨드(0.00004 ppm), 아시아틱애씨드(0.00003 ppm), 세라마이드엔피",,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211119&dispCatNo=100000100010014&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%97%90%EC%84%BC%EC%8A%A4/%EC%84%B8%EB%9F%BC/%EC%95%B0%ED%94%8C_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=3,O
리얼 히알루로닉 블루 100 앰플,웰라쥬,에센스/세럼/앰플,모든 피부,"정제수, 프로판다이올, 펜틸렌글라이콜, 글리세린, 1,2-헥산다이올, 판테놀, 메틸프로판다이올, 소듐아크릴릭애씨드/엠에이코폴리머, 부틸렌글라이콜, 참마뿌리추출물, 잔탄검, 소듐시트레이트, 에틸헥실글리세린, 소듐하이알루로네이트(1,000ppm), 글라이코실트레할로오스, 하이드로제네이티드스타치하이드롤리세이트, 시트릭애씨드, 라피노오스, 아데노신, 레시틴, 트라이소듐에틸렌다이아민다이석시네이트, 카프릴릴글라이콜, 사카라이드아이소머레이트, 폴리쿼터늄-51, 말라카이트추출물, 알지닌, 소듐디엔에이, 갈랑가갈랑갈추출물, 바이오사카라이드검-1, 사이아노코발아민, 토코페롤, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드레시틴, 하이드롤라이즈드하이알루로닉애씨드(0.100052ppm) 하이드롤라이즈드소듐하이알루로네이트(0.1ppm), 수크로오스라우레이트, 소듐스테아로일글루타메이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 글라이신, 세린, 히스티딘, 돌콩추출물, 라이소레시틴, 플로레틴, 테트라하이드로피페린, 다이메틸아이소소바이드, 소듐하이알루로네이트크로스폴리머(2.08ppb), 벤질글라이콜, 하이드롤라이즈드글라이코사미노글리칸, 올레일알코올, 베타-글루칸, 하이드록시프로필트라이모늄하이알루로네이트(0.012ppb), 하이알루로닉애씨드(0.001ppb), 소듐아세틸레이티드하이알루로네이트(0.0002ppb)",,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000231885&dispCatNo=100000100010014&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%97%90%EC%84%BC%EC%8A%A4/%EC%84%B8%EB%9F%BC/%EC%95%B0%ED%94%8C_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=4,O
히알루 B5 수분탄력 세럼,라로슈포제 ,에센스/세럼/앰플,모든 피부,"[히알루 세럼] 정제수 글리세린 변성알코올 프로필렌글라이콜 판테놀 펜틸렌글라이콜 다이메티콘 피이지-6카프릴릭/카프릭글리세라이즈 갈랑가갈랑갈잎추출물 칼슘클로라이드 글리세릴아이소스테아레이트 마데카소사이드 피피지-6-데실테트라데세스-30 소듐아세틸레이티드하이알루로네이트(0.01%) 소듐하이알루로네이트(0.2004%) 알진 아데노신 암모늄폴리아크릴로일다이메틸타우레이트 프로판다이올 하이드롤라이즈드하이알루로닉애씨드(0.1208%) 하이드록시아세토페논 카프릴릭/카프릭트라이글리세라이드 카프릴릴글라이콜 시트릭애씨드 트라이소듐에틸렌다이아민다이석시네이트 아세틸글루코사민 잔탄검 부틸렌글라이콜 1,2-헥산다이올 토코페롤 페녹시에탄올 향료 [히알루 크림] 정제수 글리세린 아이소헥사데칸 프로판다이올 변성알코올 아이소프로필아이소스테아레이트 판테놀 다이메티콘 옥틸도데칸올 베헤닐알코올 세틸알코올 갈랑가갈랑갈잎추출물 스테아릭애씨드 칼슘클로라이드 세테아릴알코올 세테아릴글루코사이드 피이지-100스테아레이트 소듐하이알루로네이트(0.2004%) 소듐하이드록사이드 알진 실리카 미리스틱애씨드 셀룰로오스 팔미틱애씨드 아데노신 암모늄폴리아크릴로일다이메틸타우레이트 다이소듐스테아로일글루타메이트 엑토인 하이드롤라이즈드하이알루로닉애씨드(0.0208%) 하이드록시아세토페논 카프릴릭/카프릭트라이글리세라이드 카프릴로일살리실릭애씨드 시트릭애씨드 라우레스-7 트라이소듐에틸렌다이아민다이석시네이트 아세틸글루코사민 잔탄검 펜틸렌글라이콜 파이틱애씨드 폴리아크릴아마이드 폴리엡실론-라이신 부틸렌글라이콜 1,2-헥산다이올 C13-14아이소알케인 페녹시에탄올 향료",,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255834&dispCatNo=100000100010014&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%97%90%EC%84%BC%EC%8A%A4/%EC%84%B8%EB%9F%BC/%EC%95%B0%ED%94%8C_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=5,O
나이아신아마이드 20% 세럼,더마팩토리,에센스/세럼/앰플,모든 피부,"다마스크장미꽃수, 나이아신아마이드, 글리세린, 부틸렌글라이콜, 1,2-헥산다이올, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 에틸헥실글리세린, 트로메타민, 잔탄검, 다이소듐이디티에이",,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225217&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%97%90%EC%84%BC%EC%8A%A4/%EC%84%B8%EB%9F%BC/%EC%95%B0%ED%94%8C_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=4,O
어성초 테카 캡슐 세럼 카밍 드롭,아비브,에센스/세럼/앰플,모든 피부,"정제수, 1,2-헥산다이올, 나이아신아마이드, 프로판다이올, 다이프로필렌글라이콜, 부틸렌글라이콜, 글리세린, 베타인, 다이에톡시에틸석시네이트, 약모밀추출물(8,015 ppm), 카프릴릭/카프릭트라이글리세라이드, 아이소노닐아이소노나노에이트, 아이리쉬모스추출물, 판테놀, 글루코오스, 클로렐라 불가리스추출물, 사탕수수추출물, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 카보머, 프룩토오스, 프룩토올리고사카라이드, 트로메타민, 펜틸렌글라이콜, 에틸헥실글리세린, 잔탄검, 캐스터오일/아이피디아이코폴리머, 마데카소사이드, 석시닉애씨드, 알란토인, 소듐파이테이트, 인도멀구슬나무잎추출물, 바이오사카라이드검-1, 인도멀구슬나무꽃추출물, 아이비고드열매추출물, 알지닌, 베타-글루칸, 호박가루, 가지열매추출물, 울금뿌리추출물, 홀리바질잎추출물, 아모다이메티콘, 참산호말추출물, 드럼스틱씨오일, 토코페롤, 엑토인, 아시아티코사이드(0.082 ppm), 마데카식애씨드(0.068 ppm), 아시아틱애씨드(0.05 ppm), 사과추출물, 4-터피네올, 솔비톨",,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000232436&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%97%90%EC%84%BC%EC%8A%A4/%EC%84%B8%EB%9F%BC/%EC%95%B0%ED%94%8C_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=5,O
 PDRN 핑크 펩타이드 앰플,메디큐브,에센스/세럼/앰플,모든 피부,"PDRN 앰플 30ml 정제수,글리세린,다이프로필렌글라이콜,아이소프로필미리스테이트,글리세레스-26,나이아신아마이드,1,2-헥산다이올,소듐디엔에이,부틸렌글라이콜,폴리글리세린-3,소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,폴리아이소부텐,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,이리추출물,트로메타민,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,피브이엠/엠에이코폴리머,에틸헥실글리세린,카프릴릴글라이콜,향료,인도멀구슬나무잎추출물,아데노신,카프릴릴/카프릴글루코사이드,솔비탄올리에이트,인도멀구슬나무꽃추출물,소듐하이알루로네이트,다이소듐이디티에이,울금뿌리추출물,사이아노코발아민,하이드롤라이즈드콜라겐,유비퀴논,홀리바질잎추출물,참산호말추출물,팔미토일펜타펩타이드-4,팔미토일트라이펩타이드-1,팔미토일테트라펩타이드-7,카퍼트라이펩타이드-1,아세틸헥사펩타이드-8,연어알추출물,아텔로콜라겐",,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255620&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%97%90%EC%84%BC%EC%8A%A4/%EC%84%B8%EB%9F%BC/%EC%95%B0%ED%94%8C_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=6,O
레티놀 시카 모공 흔적 앰플,이니스프리 ,에센스/세럼/앰플,모든 피부,"정제수, 글리세린, 부틸렌글라이콜, 나이아신아마이드, 병풀잎수(17712ppm), 다이부틸아디페이트, 1,2-헥산다이올, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드레시틴, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 콜레스테롤, 돌콩오일, 알란토인, 토코페롤, 에틸헥실글리세린, 토코페릴아세테이트, 소듐메틸스테아로일타우레이트, 해바라기씨오일, 폴리글리세릴-6카프릴레이트, 다이메틸아이소소바이드, 아데노신, 레티놀(1,000IU/g), 당근추출물, 잔탄검, 폴리글리세릴-10라우레이트, 하이드록시피나콜론레티노에이트, 레틴알, 풀루란, 세라마이드엔피, 하이알루로닉애씨드,베타-카로틴, 트로메타민, 병풀추출물(1ppm), 글라이코프로테인, 제인, 펙틴*3X RETINOL COMPLEX 1% : 레티놀 1,000IU/g, 레틴알 0.005%, 하이드록시피나콜론레티노에이트 0.005%",,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000258877&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%97%90%EC%84%BC%EC%8A%A4/%EC%84%B8%EB%9F%BC/%EC%95%B0%ED%94%8C_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=9,O
